% confessions 
@relation 'confessions'
%ATRIBUTOS POR ORDEN DE APARICION EN LA DESCRIPCION 
@attribute 'confession' string 
@attribute categoria {pain, dream, fantasy, first experience, guilt, lie, pain, random feeling, truth, wild experience, other} 
@data 
 "I am a bisexual genderfluid human. I currently have a homosexual crush, but she is straight with a bf. She also expresses disgust towards the LGBT community", pain
"I’m married and keep contemplating if I want to stay married or if I should cheat on my wife. I also want to fuck the shit out of quite a few people i work with as well as my exes. But I love her and I don’t want to hurt her. And that being said I am bored as fuck with our sex life. I want to try new things some of which I can’t tell her because she already doesn’t want to try some of the less adventurous things.", guilt
"For the past three years I have been secretly taking nude photos and videos of my wife and sharing them with strangers on the internet. She has no idea that thousands of people all over the world have seen her completely nude and exposed, they’ve even seen her sucking cock and getting banged. It turns me on to no end knowing that others pleasure themselves to her while she has no idea. Last year I even found some guys online in my area that cane over to my house and looked at her nudes and jerked off into her bras and panties. After I let them dry and put them back for her to wear.", guilt
"I am currently studying in high school, boy of 17. I actually have a not so good looking face, and a very bad accent, and my school is in an urban area. Everyday I see boys and girls making various expressions after seeing me or hearing me. They also tend to walk away from doing any conversations with me. Dunno what to do.", pain
"I saw my mom nude many times while bathing and doing sex with dad.", truth
"I’m a single 25yo guy living at parents house, having regular sex with my mom for over 2 years now. I wanted it – dreamed about it since i was 13-14 and it finally happened when my sister got married and moved out of the house. She knew i was into her and i guess she wanted it as well. Dad has no clue what’s going on, neither does anyone else. We have sex at least 3-4 times a week, while dad’s at work, or on a business trip. Lately we even had “quickies” while he was asleep in the next room. She’s 44y, gorgeous and although i know it’s wrong, i really don’t want it to stop and i want it to last for as long as possible.
I wanted to keep it as short and simple, and to hear your thoughts .", other
"Ever so often when Iam dreaming, I realise it’s only a dream, so I take all my clothes off, and walk into a room with many women in and start masturbating, I walk up to any woman and pull her knickers down and start sucking her pussy, then I shove my cock inside her and cum. This happens about maybe once a month. But it’s fabulous!!", dream
"Many years ago I used to go in public phone boxes on the way home from the pub, I would call any number that a female would answer, many were taxi services, I would always say things like do you have a big hairy cunt, if they replied I would ejaculate. I must have called hundreds over the years. To risky now mobiles to easy to trace!", guilt
"I’m in a relationship right now with a long time friend. At first it was amazing and I was really happy, but recently I’ve accepted that I’m aromantic. I’m not interested in dating anymore, but I also don’t want a sexual relationship with him. I want to keep him happy and keep him as a friend, but I also want to be happy myself… Do you guys have any useful advice?", pain
"I seem to have this aversion to guys that are not him and I dont know what to do about it. He doesnt love me I know that and I just want to be and feel better despite all this unrequited love. Its been too long and I just wish I could meet some else better than him who loves me and I love him back too.", truth
"I fantasize about a world where women love cock and where it’s normal for everyone to safely have sex with each another and watch men stroke in their cars and at work and anywhere they want to.", fantasy
"So my wife was going to have a girls night out. I knew that one particular friend was going. This friend was so fuckin hot, I wanted to bang her when I met her. I knew that it was going to take my wife awhile for to get ready. That night, I decided to go her place and try to fuck my wife’s hot friend. When I got there, she looked absolutely amazing. I grabbed her and kissed her. It was so hot. She was so turned on, that she threw on the floor and we had sex. Eventually it did lead to the bedroom. Eventualy, my wife did show up, but I hid in the bedroom and she never knew I was there.", wild experience
"Every time I eat chocolate it reminds me how much my mouth craves black dick.", truth
"One day, I delivered a pizza too a house of a really cute girl. So I looked up her name on Facebook and I actually found her. Now we’re friends online but she doesn’t know how I found her.", pain
"I used to spy on my older sister at home, I was 16 she was 19. She was slim with bleach blonde hair, when she went for a bath I used to go in the loft, it was above my wardrobe in my bedroom you could see in the bathroom from the sunken ceiling light, it had small grid type holes in the fitting. I would get a fantastic view of her laying in the tub, her pubes were dark brown, unlike her bleached hair. She always spent ages washing her tits and pussy, I would be furiously masturbating, I became addicted to watching! I even spied on my mother, she was much larger than my sis, she had large breasts that were very saggy, her pubes were much more hairy, I felt a bit dirty later after masturbating, but it didn’t stop me! I would go in my sister’s room and smell her unwashed knickers as well. I suppose Iam a bit of a PERV, Iam 60 now and still the same!", guilt
"My girlfriend is very hairy, her pussy and asshole are covered in black hair, she also has thick hair under her arms, she is 30 yes old. Her belly has some hair also. I persuaded her to let me take some pics. I took about 100 of her. Unknown to her I started showing them to my workmates, they loved them! Made more copies and gave them to my friends at work, some have even asked for her stained panties to sniff, occasionally I sneak a pair out to be sniffed. Iam really tempted to tell her, but she might go mad with me.", guilt
"I cheated on my wife by fucking the hot neighbor.", wild experience
"I went to my friend’s wife place of work and I fucked her in the bathroom.", wild experience
"Every time my friend goes on his business trip, I tell my wife that I’m going on a business trip too. But in reality, I go to my friend’s apartment and bang his wife. It is awesome, we stay in bed naked all the time.", wild experience
"how do you leave a reply to a post?", other
"I have exposed myself to thousands of young girls over a 30 year period . I have not done that for at least 20 years thank God. Now a days they put it on the news and label you a sex offender.", truth
"I had to go on this business trip. My friend’s wife had to go on the same trip, we are in the same field. So we went, our spouses didn’t go. This was a week long conference. After the first day, we decided to go this club to blow some steam. We both got ready. When she came out, she looked absolutely amazing. We went to the club. After a couple of hours and drinks, we had sex in the bathroom. Later, we had sex in my hotel room. This was happening for the entire week. We actualy missed most of the conference, but it was worth it.", wild experience
